loss,factorization_time,params,iteration
0.7727187454537282,17.706566959997872,"{'model__doc_topic_prior': 9.340591646798577, 'model__n_components': 19, 'model__topic_word_prior': 4.354060928873475, 'vectorizer__max_df': 0.946381026817472, 'vectorizer__min_df': 0.0316526406462992, 'vectorizer__ngram_range': (1, 3)}",1
0.7699672791500882,15.738963704003254,"{'model__doc_topic_prior': 76.2624168303203, 'model__n_components': 24, 'model__topic_word_prior': 4.5553915308605974, 'vectorizer__max_df': 0.9621274413068396, 'vectorizer__min_df': 0.027021945227343698, 'vectorizer__ngram_range': (1, 3)}",2
0.7680725127807895,15.46413326399852,"{'model__doc_topic_prior': 53.487934931967025, 'model__n_components': 24, 'model__topic_word_prior': 79.88179462781237, 'vectorizer__max_df': 0.9510682021976835, 'vectorizer__min_df': 0.03266630554761724, 'vectorizer__ngram_range': (1, 3)}",3
0.7400419223804541,25.38745662099973,"{'model__doc_topic_prior': 1.861193518179266, 'model__n_components': 10, 'model__topic_word_prior': 1.1012128891067825, 'vectorizer__max_df': 0.9554178907133428, 'vectorizer__min_df': 0.01783185287098922, 'vectorizer__ngram_range': (1, 3)}",4
0.7769489995480605,20.065794169000583,"{'model__doc_topic_prior': 1.2314998980420901, 'model__n_components': 23, 'model__topic_word_prior': 91.50302133630693, 'vectorizer__max_df': 0.9545691777166794, 'vectorizer__min_df': 0.030872794713358815, 'vectorizer__ngram_range': (1, 3)}",5
0.7682661038791198,15.74368572000094,"{'model__doc_topic_prior': 64.22500474336273, 'model__n_components': 28, 'model__topic_word_prior': 27.003902061853406, 'vectorizer__max_df': 0.9555324047425539, 'vectorizer__min_df': 0.023760583728818466, 'vectorizer__ngram_range': (1, 3)}",6
0.7682511519833497,16.008528791000572,"{'model__doc_topic_prior': 13.091405847133295, 'model__n_components': 22, 'model__topic_word_prior': 40.06016267584529, 'vectorizer__max_df': 0.9636600034182679, 'vectorizer__min_df': 0.032247322341705825, 'vectorizer__ngram_range': (1, 3)}",7
0.7678510500057417,16.063838542999292,"{'model__doc_topic_prior': 22.15336997314065, 'model__n_components': 24, 'model__topic_word_prior': 2.784703986586444, 'vectorizer__max_df': 0.9509681936143373, 'vectorizer__min_df': 0.024877567406798064, 'vectorizer__ngram_range': (1, 3)}",8
0.7680725127807896,16.097901598001044,"{'model__doc_topic_prior': 45.04823050741449, 'model__n_components': 18, 'model__topic_word_prior': 93.06823890354187, 'vectorizer__max_df': 0.9472290825093488, 'vectorizer__min_df': 0.017672478991748276, 'vectorizer__ngram_range': (1, 3)}",9
0.7736472477197801,16.087459204998595,"{'model__doc_topic_prior': 18.147070746851526, 'model__n_components': 18, 'model__topic_word_prior': 7.767879332694827, 'vectorizer__max_df': 0.9547031512665229, 'vectorizer__min_df': 0.024530673131439307, 'vectorizer__ngram_range': (1, 3)}",10
0.7772128446193439,18.643740242001513,"{'model__doc_topic_prior': 1.9340890747496784, 'model__n_components': 29, 'model__topic_word_prior': 32.31192525247023, 'vectorizer__max_df': 0.9475892808647874, 'vectorizer__min_df': 0.026833471181665364, 'vectorizer__ngram_range': (1, 3)}",11
0.7743315319187184,17.34368393299883,"{'model__doc_topic_prior': 6.6217260777601705, 'model__n_components': 14, 'model__topic_word_prior': 20.721400388146026, 'vectorizer__max_df': 0.9547955530116727, 'vectorizer__min_df': 0.022659718596709, 'vectorizer__ngram_range': (1, 3)}",12
0.7713122112913882,16.606762528997933,"{'model__doc_topic_prior': 11.712225751006251, 'model__n_components': 29, 'model__topic_word_prior': 3.3519512293792664, 'vectorizer__max_df': 0.9583319650531126, 'vectorizer__min_df': 0.024914570049532975, 'vectorizer__ngram_range': (1, 3)}",13
0.7692123284119393,15.069859485000052,"{'model__doc_topic_prior': 35.04212306960217, 'model__n_components': 10, 'model__topic_word_prior': 2.8296576356063, 'vectorizer__max_df': 0.9468291155770623, 'vectorizer__min_df': 0.031045328082618572, 'vectorizer__ngram_range': (1, 3)}",14
0.7684242489305345,16.325183564000326,"{'model__doc_topic_prior': 17.915420221429944, 'model__n_components': 26, 'model__topic_word_prior': 38.885398302877675, 'vectorizer__max_df': 0.9472157131490087, 'vectorizer__min_df': 0.022128537583497424, 'vectorizer__ngram_range': (1, 3)}",15
0.7772807319689589,20.67261667999992,"{'model__doc_topic_prior': 1.1422707344719154, 'model__n_components': 30, 'model__topic_word_prior': 29.427399065826226, 'vectorizer__max_df': 0.9523865665276674, 'vectorizer__min_df': 0.027800200031480496, 'vectorizer__ngram_range': (1, 3)}",16
0.7694353085664851,16.558081729999685,"{'model__doc_topic_prior': 18.857540778239564, 'model__n_components': 25, 'model__topic_word_prior': 5.7028989470505795, 'vectorizer__max_df': 0.9483526461259666, 'vectorizer__min_df': 0.016854790765747526, 'vectorizer__ngram_range': (1, 3)}",17
0.7680193975989126,15.79318833099751,"{'model__doc_topic_prior': 24.111443740216135, 'model__n_components': 14, 'model__topic_word_prior': 43.74433874948649, 'vectorizer__max_df': 0.9549062228386378, 'vectorizer__min_df': 0.02862078249321428, 'vectorizer__ngram_range': (1, 3)}",18
0.7680725127807895,15.931604066998261,"{'model__doc_topic_prior': 15.879548414682509, 'model__n_components': 17, 'model__topic_word_prior': 85.54752431127119, 'vectorizer__max_df': 0.9528471335486758, 'vectorizer__min_df': 0.030550245448155648, 'vectorizer__ngram_range': (1, 3)}",19
0.7679878126457024,16.0773112450006,"{'model__doc_topic_prior': 16.077719259328077, 'model__n_components': 18, 'model__topic_word_prior': 19.93583621280662, 'vectorizer__max_df': 0.9602237801015202, 'vectorizer__min_df': 0.027244717907177196, 'vectorizer__ngram_range': (1, 3)}",20
0.7770722821814438,17.32218344699868,"{'model__doc_topic_prior': 3.323651232684043, 'model__n_components': 30, 'model__topic_word_prior': 13.298690175250341, 'vectorizer__max_df': 0.9499827704852525, 'vectorizer__min_df': 0.034969946976668866, 'vectorizer__ngram_range': (1, 3)}",21
0.7580946806042419,27.927361808997375,"{'model__doc_topic_prior': 1.078470748787451, 'model__n_components': 15, 'model__topic_word_prior': 12.42341379967679, 'vectorizer__max_df': 0.9453675281622235, 'vectorizer__min_df': 0.021436739865944708, 'vectorizer__ngram_range': (1, 3)}",22
0.7771454324314969,17.649341743999685,"{'model__doc_topic_prior': 2.834896508242022, 'model__n_components': 29, 'model__topic_word_prior': 54.81160104814657, 'vectorizer__max_df': 0.9496208522041553, 'vectorizer__min_df': 0.028151076426361676, 'vectorizer__ngram_range': (1, 3)}",23
0.7760713894966478,17.555467669997597,"{'model__doc_topic_prior': 4.517418129126095, 'model__n_components': 13, 'model__topic_word_prior': 21.759873344976704, 'vectorizer__max_df': 0.9575387073865351, 'vectorizer__min_df': 0.03421107933508167, 'vectorizer__ngram_range': (1, 3)}",24
0.777320538422994,19.40667040399785,"{'model__doc_topic_prior': 1.727593626302107, 'model__n_components': 30, 'model__topic_word_prior': 58.08664429441299, 'vectorizer__max_df': 0.952748347741841, 'vectorizer__min_df': 0.020611406793207686, 'vectorizer__ngram_range': (1, 3)}",25
0.7773571787918411,19.878568612999516,"{'model__doc_topic_prior': 1.5441732762215605, 'model__n_components': 30, 'model__topic_word_prior': 60.27703142807894, 'vectorizer__max_df': 0.9526516373895177, 'vectorizer__min_df': 0.020332311929089148, 'vectorizer__ngram_range': (1, 3)}",26
0.7772550360110304,19.426271329000883,"{'model__doc_topic_prior': 1.7511230060706706, 'model__n_components': 30, 'model__topic_word_prior': 61.160813405586254, 'vectorizer__max_df': 0.9528218043967771, 'vectorizer__min_df': 0.020096780509943322, 'vectorizer__ngram_range': (1, 3)}",27
0.7708504849041828,17.786624022999604,"{'model__doc_topic_prior': 5.469046537464206, 'model__n_components': 21, 'model__topic_word_prior': 1.0748037574734117, 'vectorizer__max_df': 0.9570310338931999, 'vectorizer__min_df': 0.01963220783166929, 'vectorizer__ngram_range': (1, 3)}",28
0.7544428276136194,22.217072213999927,"{'model__doc_topic_prior': 2.6359336847996317, 'model__n_components': 11, 'model__topic_word_prior': 1.6924475482245578, 'vectorizer__max_df': 0.9594525988503525, 'vectorizer__min_df': 0.015856707037518403, 'vectorizer__ngram_range': (1, 3)}",29
0.7683976805618971,17.14763337200202,"{'model__doc_topic_prior': 8.37221532723795, 'model__n_components': 20, 'model__topic_word_prior': 56.49483741598503, 'vectorizer__max_df': 0.9490433308308366, 'vectorizer__min_df': 0.015006637634548865, 'vectorizer__ngram_range': (1, 3)}",30
0.7635591902636749,25.722253657000692,"{'model__doc_topic_prior': 1.4902902542247964, 'model__n_components': 12, 'model__topic_word_prior': 12.748542640109333, 'vectorizer__max_df': 0.9454560918506757, 'vectorizer__min_df': 0.019733752861444635, 'vectorizer__ngram_range': (1, 3)}",31
0.7763906725892189,18.237940697999875,"{'model__doc_topic_prior': 3.982518650603979, 'model__n_components': 16, 'model__topic_word_prior': 66.56308443120447, 'vectorizer__max_df': 0.9519892099690981, 'vectorizer__min_df': 0.021190644235185088, 'vectorizer__ngram_range': (1, 3)}",32
0.7739422826588025,19.22361006400024,"{'model__doc_topic_prior': 2.407269634008716, 'model__n_components': 27, 'model__topic_word_prior': 8.967907587102468, 'vectorizer__max_df': 0.9614443804051558, 'vectorizer__min_df': 0.018453473987545935, 'vectorizer__ngram_range': (1, 3)}",33
0.7684522156343639,16.80787416399835,"{'model__doc_topic_prior': 6.830900934635148, 'model__n_components': 19, 'model__topic_word_prior': 99.747486986119, 'vectorizer__max_df': 0.9509593124130378, 'vectorizer__min_df': 0.023306254893901833, 'vectorizer__ngram_range': (1, 3)}",34
0.7771807598874131,19.388874716998544,"{'model__doc_topic_prior': 2.141519881368146, 'model__n_components': 30, 'model__topic_word_prior': 16.910171057903753, 'vectorizer__max_df': 0.9562731465346986, 'vectorizer__min_df': 0.018810605468655053, 'vectorizer__ngram_range': (1, 3)}",35
0.7680725127807897,15.486087375000352,"{'model__doc_topic_prior': 99.01034066535337, 'model__n_components': 23, 'model__topic_word_prior': 70.8965837961301, 'vectorizer__max_df': 0.953811499320106, 'vectorizer__min_df': 0.026177981495546544, 'vectorizer__ngram_range': (1, 3)}",36
0.7768433401596354,21.780283222000435,"{'model__doc_topic_prior': 1.289928700182678, 'model__n_components': 28, 'model__topic_word_prior': 48.75905532369136, 'vectorizer__max_df': 0.9515135287444064, 'vectorizer__min_df': 0.016578035336856173, 'vectorizer__ngram_range': (1, 3)}",37
0.7773559323683593,20.145684851002443,"{'model__doc_topic_prior': 1.5008947149288479, 'model__n_components': 30, 'model__topic_word_prior': 26.70483965672532, 'vectorizer__max_df': 0.953803322326185, 'vectorizer__min_df': 0.020644890401372983, 'vectorizer__ngram_range': (1, 3)}",38
0.7717118374060825,18.82164887700128,"{'model__doc_topic_prior': 3.6850627493664527, 'model__n_components': 12, 'model__topic_word_prior': 6.701926034028487, 'vectorizer__max_df': 0.9539021864482468, 'vectorizer__min_df': 0.02357747894673394, 'vectorizer__ngram_range': (1, 3)}",39
0.7747883404305405,25.518542002002505,"{'model__doc_topic_prior': 1.0160870947034653, 'model__n_components': 22, 'model__topic_word_prior': 32.15385804203504, 'vectorizer__max_df': 0.9634047240939908, 'vectorizer__min_df': 0.018765769261538733, 'vectorizer__ngram_range': (1, 3)}",40
0.774226315883776,20.39717005700004,"{'model__doc_topic_prior': 1.3809355994476142, 'model__n_components': 21, 'model__topic_word_prior': 16.95903870051241, 'vectorizer__max_df': 0.9561697350235062, 'vectorizer__min_df': 0.02960936082207463, 'vectorizer__ngram_range': (1, 3)}",41
0.7680522917696071,16.53980536999734,"{'model__doc_topic_prior': 9.826269800798908, 'model__n_components': 25, 'model__topic_word_prior': 24.826132919756024, 'vectorizer__max_df': 0.9588762798347816, 'vectorizer__min_df': 0.025901670020559955, 'vectorizer__ngram_range': (1, 3)}",42
0.7760152930111494,17.19102620200283,"{'model__doc_topic_prior': 5.287325475296702, 'model__n_components': 24, 'model__topic_word_prior': 37.05255004740408, 'vectorizer__max_df': 0.9504019495339762, 'vectorizer__min_df': 0.022113121236511643, 'vectorizer__ngram_range': (1, 3)}",43
0.7725126585148658,18.89890216600179,"{'model__doc_topic_prior': 2.9227916626485433, 'model__n_components': 26, 'model__topic_word_prior': 4.726553558499346, 'vectorizer__max_df': 0.9482058688204084, 'vectorizer__min_df': 0.017412381843869524, 'vectorizer__ngram_range': (1, 3)}",44
0.775300719720128,17.481585690999054,"{'model__doc_topic_prior': 7.691503736054685, 'model__n_components': 30, 'model__topic_word_prior': 9.489321021684628, 'vectorizer__max_df': 0.9535559441567621, 'vectorizer__min_df': 0.015173631096606428, 'vectorizer__ngram_range': (1, 3)}",45
0.7683034836185452,15.507526766999945,"{'model__doc_topic_prior': 28.96638606578717, 'model__n_components': 11, 'model__topic_word_prior': 75.33372700244347, 'vectorizer__max_df': 0.9461712886502203, 'vectorizer__min_df': 0.024227587554179954, 'vectorizer__ngram_range': (1, 3)}",46
0.7737260648921443,16.595912005999708,"{'model__doc_topic_prior': 11.668072887561687, 'model__n_components': 10, 'model__topic_word_prior': 24.645395997889267, 'vectorizer__max_df': 0.9558211821970248, 'vectorizer__min_df': 0.025509132678425025, 'vectorizer__ngram_range': (1, 3)}",47
0.7677733452678782,20.080370337000204,"{'model__doc_topic_prior': 2.2208164786023135, 'model__n_components': 17, 'model__topic_word_prior': 1.6619771951592512, 'vectorizer__max_df': 0.9607166881127511, 'vectorizer__min_df': 0.02293028488691691, 'vectorizer__ngram_range': (1, 3)}",48
0.768001123059638,16.27824334700199,"{'model__doc_topic_prior': 50.740936611718304, 'model__n_components': 27, 'model__topic_word_prior': 16.17408767690997, 'vectorizer__max_df': 0.9573919929530585, 'vectorizer__min_df': 0.01604464889983658, 'vectorizer__ngram_range': (1, 3)}",49
